,shape,price,carat,cut,color,clarity,report,type
617,7,510,0.33,4,2,3,1,1
618,6,510,0.3,2,4,2,1,1
619,2,510,0.31,2,2,2,1,1
620,9,510,0.3,2,3,3,1,1
621,2,510,0.3,2,2,2,1,1
622,9,510,0.3,4,5,2,1,1
623,2,510,0.32,2,2,2,1,1
624,9,510,0.3,2,5,5,1,1
625,9,510,0.3,2,5,4,1,1
626,6,510,0.31,2,5,4,1,1
627,7,510,0.31,1,2,2,1,1
628,2,510,0.3,2,0,5,1,1
629,9,510,0.26,3,3,7,1,1
630,2,510,0.3,2,4,5,1,1
631,9,510,0.26,2,0,2,1,1
632,9,510,0.3,4,1,2,1,1
633,9,510,0.3,4,6,6,1,1
634,9,510,0.34,3,5,5,1,1
635,9,510,0.3,4,2,2,1,1
636,9,510,0.26,3,1,2,1,1
637,2,510,0.3,2,1,2,1,1
638,2,510,0.3,4,2,5,1,1
639,9,510,0.28,3,1,2,1,1
640,9,510,0.3,2,5,3,1,1
641,4,510,0.31,2,3,3,1,1
642,9,510,0.3,2,5,2,1,1
643,4,510,0.3,2,2,2,1,1
644,4,510,0.31,1,1,3,1,1
645,7,520,0.3,2,1,2,1,1
646,7,520,0.31,4,3,7,1,1
647,7,520,0.31,2,3,7,1,1
648,7,520,0.32,2,3,5,1,1
649,7,520,0.3,4,1,2,1,1
650,7,520,0.3,4,1,4,1,1
651,5,520,0.3,2,5,6,1,1
652,6,520,0.32,2,5,5,1,1
653,2,520,0.3,2,0,2,1,1
654,9,520,0.3,2,5,2,1,1
655,9,520,0.26,2,0,2,1,1
656,2,520,0.3,2,1,2,1,1
657,9,520,0.3,3,5,4,1,1
658,9,520,0.3,3,5,6,1,1
659,7,520,0.3,1,6,4,1,1
660,9,520,0.27,3,3,4,1,1
661,9,520,0.32,3,3,2,1,1
662,9,520,0.3,2,1,3,1,1
663,9,520,0.3,2,3,2,1,1
664,9,520,0.3,4,5,4,1,1
665,2,520,0.31,2,0,2,1,1
666,5,520,0.3,2,1,2,1,1
667,4,520,0.3,2,3,5,1,1
668,5,520,0.3,2,5,7,1,1
669,5,520,0.3,2,2,2,1,1
670,3,520,0.3,2,1,3,1,1
671,4,520,0.3,2,1,3,1,1
672,7,520,0.32,2,1,2,1,1
673,7,520,0.3,4,1,5,1,1
674,7,520,0.3,1,1,4,1,1
675,7,520,0.28,2,3,7,1,1
676,7,520,0.3,2,1,5,1,1
677,7,520,0.3,1,1,5,1,1
678,6,520,0.3,4,2,5,1,1
679,9,520,0.3,3,6,7,1,1
680,9,520,0.32,4,4,3,1,1
681,2,520,0.3,2,5,1,1,1
682,7,520,0.31,2,4,2,1,1
683,6,520,0.3,4,2,2,1,1
684,2,520,0.3,2,2,2,1,1
685,9,520,0.3,4,5,3,1,1
686,6,520,0.3,2,2,2,1,1
687,6,520,0.3,2,4,5,1,1
688,9,520,0.3,3,5,5,1,1
689,9,520,0.35,3,1,3,1,1
690,9,520,0.4,4,6,2,1,1
691,9,520,0.3,4,2,3,1,1
692,9,520,0.3,4,3,2,1,1
